Scenario,Tool,Tasks,Phase,Iteration,Sample,Duration,Count
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,WARM_UP,1,total execution time,46934.25,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,WARM_UP,1,garbage collection time,559.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,WARM_UP,1,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,WARM_UP,2,total execution time,1476.36,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,WARM_UP,2,garbage collection time,32.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,WARM_UP,2,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,1,total execution time,1204.38,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,1,garbage collection time,21.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,1,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,2,total execution time,1211.16,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,2,garbage collection time,19.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,2,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,3,total execution time,1091.20,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,3,garbage collection time,21.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,3,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,4,total execution time,1043.63,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,4,garbage collection time,15.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,4,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,5,total execution time,1057.62,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,5,garbage collection time,15.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,5,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,6,total execution time,971.80,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,6,garbage collection time,7.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,6,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,7,total execution time,973.24,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,7,garbage collection time,8.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,7,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,8,total execution time,965.15,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,8,garbage collection time,7.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,8,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,9,total execution time,936.56,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,9,garbage collection time,10.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,9,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,10,total execution time,999.96,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,10,garbage collection time,11.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,10,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,11,total execution time,888.47,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,11,garbage collection time,17.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,11,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,12,total execution time,920.66,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,12,garbage collection time,13.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,12,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,13,total execution time,949.92,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,13,garbage collection time,16.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,13,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,14,total execution time,953.70,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,14,garbage collection time,15.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,14,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,15,total execution time,908.01,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,15,garbage collection time,12.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,15,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,16,total execution time,939.20,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,16,garbage collection time,15.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,16,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,17,total execution time,913.68,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,17,garbage collection time,11.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,17,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,18,total execution time,922.83,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,18,garbage collection time,12.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,18,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,19,total execution time,805.18,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,19,garbage collection time,12.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,19,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,20,total execution time,882.82,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,20,garbage collection time,14.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,20,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,21,total execution time,819.24,1
Local change - no cache,Gradle 8.1-20230210091452+0000,:santa-tracker:assembleDebug,MEASURE,21,garbage collection time,11.00,1
