Scenario,Tool,Tasks,Phase,Iteration,Sample,Duration,Count
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,WARM_UP,1,total execution time,47729.14,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,WARM_UP,1,garbage collection time,608.00,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,WARM_UP,1,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,WARM_UP,2,total execution time,1576.79,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,WARM_UP,2,garbage collection time,75.00,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,WARM_UP,2,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,1,total execution time,1282.40,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,1,garbage collection time,46.00,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,1,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,2,total execution time,1177.26,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,2,garbage collection time,60.00,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,2,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,3,total execution time,1123.59,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,3,garbage collection time,54.00,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,3,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,4,total execution time,1172.21,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,4,garbage collection time,68.00,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,4,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,5,total execution time,1081.75,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,5,garbage collection time,58.00,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,5,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,6,total execution time,1055.59,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,6,garbage collection time,58.00,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,6,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,7,total execution time,1038.99,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,7,garbage collection time,61.00,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,7,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,8,total execution time,980.18,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,8,garbage collection time,0.00,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,8,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,9,total execution time,1049.31,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,9,garbage collection time,76.00,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,9,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,10,total execution time,1143.26,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,10,garbage collection time,55.00,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,10,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,11,total execution time,980.34,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,11,garbage collection time,46.00,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,11,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,12,total execution time,960.59,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,12,garbage collection time,56.00,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,12,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,13,total execution time,1012.75,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,13,garbage collection time,66.00,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,13,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,14,total execution time,938.14,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,14,garbage collection time,48.00,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,14,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,15,total execution time,879.36,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,15,garbage collection time,54.00,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,15,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,16,total execution time,930.53,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,16,garbage collection time,47.00,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,16,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,17,total execution time,970.65,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,17,garbage collection time,38.00,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,17,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,18,total execution time,1040.90,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,18,garbage collection time,49.00,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,18,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,19,total execution time,1000.72,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,19,garbage collection time,50.00,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,19,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208143954+0000,:santa-tracker:assembleDebug,MEASURE,20,total execution time,886.33,1
