Scenario,Tool,Tasks,Phase,Iteration,Sample,Duration,Count
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,WARM_UP,1,total execution time,37969.77,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,WARM_UP,1,garbage collection time,520.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,WARM_UP,1,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,WARM_UP,2,total execution time,1284.75,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,WARM_UP,2,garbage collection time,39.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,WARM_UP,2,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,1,total execution time,1088.20,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,1,garbage collection time,27.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,1,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,2,total execution time,1051.22,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,2,garbage collection time,19.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,2,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,3,total execution time,1002.18,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,3,garbage collection time,4.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,3,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,4,total execution time,1004.79,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,4,garbage collection time,26.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,4,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,5,total execution time,944.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,5,garbage collection time,23.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,5,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,6,total execution time,975.56,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,6,garbage collection time,29.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,6,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,7,total execution time,923.23,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,7,garbage collection time,20.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,7,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,8,total execution time,900.80,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,8,garbage collection time,10.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,8,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,9,total execution time,886.62,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,9,garbage collection time,8.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,9,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,10,total execution time,930.65,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,10,garbage collection time,3.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,10,local build cache size,0.00,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,11,total execution time,907.19,1
Local change - no cache,Gradle 8.1-20230208133300+0000,:santa-tracker:assembleDebug,MEASURE,11,garbage collection time,42.00,1
