Scenario,Tool,Tasks,Phase,Iteration,Sample,Duration,Count
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,WARM_UP,1,total execution time,49452.75,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,WARM_UP,1,garbage collection time,579.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,WARM_UP,1,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,WARM_UP,2,total execution time,1448.46,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,WARM_UP,2,garbage collection time,21.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,WARM_UP,2,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,1,total execution time,1303.30,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,1,garbage collection time,7.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,1,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,2,total execution time,1173.56,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,2,garbage collection time,51.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,2,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,3,total execution time,1274.77,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,3,garbage collection time,25.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,3,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,4,total execution time,1121.52,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,4,garbage collection time,25.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,4,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,5,total execution time,1074.25,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,5,garbage collection time,44.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,5,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,6,total execution time,1079.17,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,6,garbage collection time,27.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,6,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,7,total execution time,1077.57,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,7,garbage collection time,48.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,7,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,8,total execution time,1010.34,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,8,garbage collection time,24.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,8,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,9,total execution time,1015.45,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,9,garbage collection time,21.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,9,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,10,total execution time,998.66,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,10,garbage collection time,13.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,10,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,11,total execution time,949.55,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,11,garbage collection time,10.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,11,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,12,total execution time,973.99,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,12,garbage collection time,6.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,12,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,13,total execution time,998.31,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,13,garbage collection time,47.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,13,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,14,total execution time,960.72,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,14,garbage collection time,23.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,14,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,15,total execution time,853.77,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,15,garbage collection time,13.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,15,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,16,total execution time,897.41,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,16,garbage collection time,13.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,16,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,17,total execution time,843.76,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,17,garbage collection time,12.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,17,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,18,total execution time,967.52,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,18,garbage collection time,5.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,18,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,19,total execution time,945.20,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,19,garbage collection time,48.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,19,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,20,total execution time,874.01,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,20,garbage collection time,22.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,20,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,21,total execution time,860.82,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,21,garbage collection time,16.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,21,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,22,total execution time,873.04,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,22,garbage collection time,12.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,22,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,23,total execution time,878.20,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,23,garbage collection time,16.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,23,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,24,total execution time,854.64,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,24,garbage collection time,4.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,24,local cache size,0.00,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,25,total execution time,875.93,1
Local change - no cache,Gradle 8.1-20230207104609+0000,:santa-tracker:assembleDebug,MEASURE,25,garbage collection time,26.00,1
